DATE,M1SL,M2SL
2017-01-01,3393.2,13283.5
2017-02-01,3403.1,13348.1
2017-03-01,3451.3,13416.7
2017-04-01,3450.4,13477.4
2017-05-01,3516.2,13535.7
2017-06-01,3525.3,13559.5
2017-07-01,3547.3,13623.5
2017-08-01,3586.5,13682.0
2017-09-01,3570.5,13727.4
2017-10-01,3607.8,13781.6
2017-11-01,3629.4,13807.6
2017-12-01,3613.3,13853.0
2018-01-01,3651.1,13861.8
2018-02-01,3614.4,13899.4
2018-03-01,3664.5,13958.0
2018-04-01,3656.6,13980.7
2018-05-01,3654.0,14046.2
2018-06-01,3655.6,14107.1
2018-07-01,3681.5,14145.3
2018-08-01,3695.0,14193.2
2018-09-01,3702.2,14224.6
2018-10-01,3726.1,14234.7
2018-11-01,3704.2,14245.0
2018-12-01,3764.3,14355.3
2019-01-01,3744.4,14417.1
2019-02-01,3751.2,14454.4
2019-03-01,3735.0,14496.7
2019-04-01,3779.3,14531.0
2019-05-01,3788.0,14643.4
2019-06-01,3832.1,14765.4
2019-07-01,3865.0,14847.2
2019-08-01,3862.0,14928.8
2019-09-01,3901.2,15019.9
2019-10-01,3931.6,15154.5
2019-11-01,3952.8,15252.6
2019-12-01,4008.4,15313.7
2020-01-01,3977.6,15380.6
2020-02-01,3979.6,15432.3
2020-03-01,4260.9,15962.0
2020-04-01,4788.8,16983.9
2020-05-01,16245.5,17850.9
2020-06-01,16574.1,18142.8
2020-07-01,16774.5,18293.3
2020-08-01,16898.8,18365.2
2020-09-01,17170.5,18591.4
2020-10-01,17365.7,18743.5
2020-11-01,17612.9,18959.3
2020-12-01,17803.0,19097.3
2021-01-01,18063.0,19323.0
2021-02-01,18322.3,19559.8
2021-03-01,18595.7,19799.3
2021-04-01,18946.2,20125.2
2021-05-01,19266.3,20429.5
2021-06-01,19327.2,20473.1
2021-07-01,19494.0,20624.9
2021-08-01,19720.9,20835.6
2021-09-01,19863.2,20965.7
2021-10-01,20057.2,21146.3
2021-11-01,20246.8,21320.5
2021-12-01,20436.2,21500.5
2022-01-01,20500.2,21558.7
2022-02-01,20577.9,21614.7
2022-03-01,20691.0,21720.9
2022-04-01,20708.4,21722.3
2022-05-01,20676.3,21691.3
2022-06-01,20606.7,21650.4
2022-07-01,20540.8,21643.0
2022-08-01,20456.5,21618.9
2022-09-01,20304.2,21539.1
2022-10-01,20142.1,21471.6
2022-11-01,19972.8,21405.1
2022-12-01,19765.0,21309.3
2023-01-01,19554.0,21222.9
2023-02-01,19362.9,21150.6
2023-03-01,18968.9,20902.8
2023-04-01,18647.2,20744.9
2023-05-01,18596.4,20837.5
2023-06-01,18485.8,20820.4
2023-07-01,18381.7,20793.3
2023-08-01,18271.6,20765.3
2023-09-01,18151.7,20710.9
2023-10-01,18070.1,20691.7
2023-11-01,18009.0,20705.1
2023-12-01,18012.3,20754.0
2024-01-01,17977.0,20754.4
2024-02-01,17935.2,20748.6
2024-03-01,17998.2,20842.1
2024-04-01,17990.0,20870.2
2024-05-01,18036.4,20963.4
